date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-07-14,00:00,26.3,18.3,61,N,25.7,33.8,360,1019.13,0,0,0,0,,
2026-07-14,00:15,26.2,17.8,60,SE,20.9,33.8,131,1019.2,0,0,0,0,,
2026-07-14,00:30,26.3,17.2,58,SE,19.3,35.4,132,1018.93,0,0,0,0,,
2026-07-14,00:45,26.3,17.8,60,N,20.9,37,360,1019.03,0,0,0,0,,
2026-07-14,01:00,26.3,17.8,60,SE,20.9,37,145,1018.8,0,0,0,0,,
2026-07-14,01:15,26.3,17.8,60,N,27.4,38.6,360,1018.73,0,0,0,0,,
2026-07-14,01:30,26.4,17.8,59,N,19.3,38.6,360,1018.52,0,0,0,0,,
2026-07-14,01:45,26.3,17.2,59,N,24.1,35.4,360,1018.56,0,0,0,0,,
2026-07-14,02:00,26.4,17.2,57,SE,35.4,37,138,1018.32,0,0,0,0,,
2026-07-14,02:15,26.2,16.7,57,SE,14.5,30.6,132,1018.39,0,0,0,0,,
2026-07-14,02:30,26.1,16.7,57,SE,16.1,27.4,141,1018.63,0,0,0,0,,
2026-07-14,02:45,25.7,17.2,60,SE,16.1,22.5,142,1018.83,0,0,0,0,,
2026-07-14,03:00,25.5,18.3,66,N,29,25.7,360,1018.73,0,0,0,0,,
2026-07-14,03:15,25.3,18.3,67,SE,14.5,38.6,136,1018.59,0,0,0,0,,
2026-07-14,03:30,25.6,18.3,66,N,16.1,38.6,360,1018.29,0,0,0,0,,
2026-07-14,03:45,25.7,18.9,66,SSE,17.7,40.2,151,1018.25,0,0,0,0,,
2026-07-14,04:00,25.4,18.9,69,SE,27.4,33.8,132,1018.19,0,0,0,0,,
2026-07-14,04:15,25.6,18.9,67,N,19.3,40.2,360,1017.98,0,0,0,0,,
2026-07-14,04:30,25.8,18.3,65,N,30.6,37,360,1018.05,0,0,0,0,,
2026-07-14,04:45,25.6,18.3,65,SE,12.9,40.2,140,1018.39,0,0,0,0,,
2026-07-14,05:00,25.6,18.3,65,SE,14.5,32.2,139,1018.19,0,0,0,0,,
2026-07-14,05:15,25.6,18.3,66,N,22.5,33.8,360,1017.98,0,0,0,0,,
2026-07-14,05:30,25.5,18.3,65,SE,27.4,35.4,146,1017.78,0,0,0,0,,
2026-07-14,05:45,25.5,17.8,64,SE,17.7,38.6,125,1017.54,0,0,0,0,,
2026-07-14,06:00,25.4,17.8,63,N,30.6,30.6,360,1017.64,0,0,0,0,,
2026-07-14,06:15,25.2,17.2,62,N,24.1,22.5,360,1017.71,0,0,0,0,,
2026-07-14,06:30,25,16.7,61,N,9.7,19.3,360,1017.95,0,0,0,16,,
2026-07-14,06:45,25,16.7,60,SE,6.4,24.1,129,1018.29,0,0,0,33,,
2026-07-14,07:00,25.7,16.7,58,SE,14.5,30.6,140,1017.98,0,0,0,72,,
2026-07-14,07:15,25.8,16.7,57,ESE,6.4,20.9,123,1018.12,0,0,0,109,,
2026-07-14,07:30,26.7,16.7,55,N,19.3,33.8,360,1017.91,0,0,0,142,,
2026-07-14,07:45,27.1,17.2,55,SE,3.2,27.4,137,1018.46,0,0,0,160,,
2026-07-14,08:00,27.4,16.7,53,E,19.3,30.6,101,1018.25,0,0,0.6,199,,
2026-07-14,08:15,27.7,17.2,53,N,16.1,30.6,360,1018.46,0,0,0.8,237,,
