date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-09,00:00,24.9,23.3,93,N,8,12.9,360,1018.59,0,0,0,0,,
2026-08-09,00:15,24.7,23.3,94,N,9.7,9.7,360,1018.63,0,0,0,0,,
2026-08-09,00:30,24.7,23.3,94,N,12.9,14.5,360,1018.52,0,0,0,0,,
2026-08-09,00:45,24.7,23.3,94,N,6.4,14.5,360,1018.39,0,0,0,0,,
2026-08-09,01:00,24.5,23.3,94,N,6.4,16.1,360,1018.39,0,0,0,0,,
2026-08-09,01:15,24.5,23.3,94,N,3.2,8,360,1018.42,0,0,0,0,,
2026-08-09,01:30,24.3,23.3,94,N,4.8,6.4,360,1018.19,0,0,0,0,,
2026-08-09,01:45,24.3,23.3,94,N,0,1.6,0,1018.15,0,0,0,0,,
2026-08-09,02:00,24.2,22.8,94,N,3.2,6.4,360,1017.95,0,0,0,0,,
2026-08-09,02:15,24.1,22.8,94,N,0,1.6,0,1018.12,0,0,0,0,,
2026-08-09,02:30,24,22.8,94,N,0,1.6,0,1017.68,0,0,0,0,,
2026-08-09,02:45,23.6,22.2,94,N,0,1.6,0,1017.85,0,0,0,0,,
2026-08-09,03:00,23.2,22.2,94,N,0,3.2,0,1017.91,0,0,0,0,,
2026-08-09,03:15,22.6,21.1,94,N,3.2,4.8,360,1017.95,0,0,0,0,,
2026-08-09,03:30,22.2,21.1,94,N,0,4.8,0,1017.75,0,0,0,0,,
2026-08-09,03:45,21.9,20.6,94,N,0,3.2,0,1017.98,0,0,0,0,,
2026-08-09,04:00,21.6,20.6,94,SSE,4.8,8,155,1017.51,0,0,0,0,,
2026-08-09,04:15,21.6,20.6,94,N,0,1.6,0,1017.34,0,0,0,0,,
2026-08-09,04:30,21.4,20,93,N,0,3.2,0,1017.41,0,0,0,0,,
2026-08-09,04:45,21.2,20,94,SSE,1.6,4.8,150,1017.37,0,0,0,0,,
2026-08-09,05:00,21.2,20,94,SSE,1.6,3.2,150,1017.24,0,0,0,0,,
2026-08-09,05:15,21.1,20,94,N,0,1.6,0,1016.97,0,0,0,0,,
2026-08-09,05:30,20.9,19.4,93,SSE,1.6,4.8,150,1017.03,0,0,0,0,,
2026-08-09,05:45,20.9,19.4,93,SSE,1.6,4.8,147,1016.9,0,0,0,0,,
2026-08-09,06:00,20.8,19.4,93,N,0,4.8,0,1016.93,0,0,0,0,,
2026-08-09,06:15,20.8,19.4,93,N,0,3.2,0,1016.86,0,0,0,0,,
2026-08-09,06:30,20.8,19.4,93,N,0,3.2,0,1017.2,0,0,0,0,,
2026-08-09,06:45,20.9,19.4,93,SSE,3.2,3.2,147,1017.1,0,0,0,11,,
2026-08-09,07:00,21.2,20,93,N,0,3.2,0,1017.2,0,0,0,18,,
2026-08-09,07:15,21.3,20,93,N,0,0,0,1017.31,0,0,0,53,,
2026-08-09,07:30,21.7,20,93,N,0,0,0,1017.37,0,0,0,90,,
2026-08-09,07:45,22.7,21.1,93,N,0,1.6,0,1017.37,0,0,0,127,,
2026-08-09,08:00,23.2,21.7,91,N,0,3.2,0,1017.58,0,0,0,156,,
2026-08-09,08:15,24.3,22.2,88,N,0,0,0,1017.68,0,0,0.7,174,,
2026-08-09,08:30,26.2,22.2,79,N,0,0,0,1017.64,0,0,0.9,274,,
2026-08-09,08:45,26.8,21.7,73,N,0,0,0,1018.19,0,0,1.2,287,,
2026-08-09,09:00,27.6,21.7,70,SSE,3.2,8,156,1017.95,0,0,1.5,336,,
2026-08-09,09:15,27.8,21.7,71,N,0,8,0,1017.95,0,0,1.8,446,,
2026-08-09,09:30,28.5,21.7,68,N,1.6,6.4,360,1018.12,0,0,2.1,504,,
2026-08-09,09:45,28.8,22.2,68,N,0,8,0,1017.91,0,0,2.5,552,,
2026-08-09,10:00,28.9,21.1,64,SSW,1.6,11.3,207,1018.02,0,0,2.9,596,,
2026-08-09,10:15,29.3,20.6,59,SSE,3.2,12.9,155,1018.19,0,0,3.3,633,,
2026-08-09,10:30,29.8,21.7,62,N,6.4,11.3,360,1018.08,0,0,3.7,673,,
2026-08-09,10:45,30,21.1,60,SE,8,17.7,144,1018.22,0,0,4.1,712,,
2026-08-09,11:00,30.6,20.6,55,N,9.7,19.3,360,1018.29,0,0,4.5,744,,
2026-08-09,11:15,30.5,21.1,58,N,16.1,17.7,360,1018.39,0,0,5,780,,
2026-08-09,11:30,30.7,21.7,60,N,1.6,19.3,360,1018.49,0,0,5.3,803,,
2026-08-09,11:45,31.3,21.1,56,SSE,4.8,17.7,167,1018.56,0,0,5.7,830,,
2026-08-09,12:00,31.3,20,52,S,1.6,19.3,184,1018.42,0,0,5.9,842,,
2026-08-09,12:15,31.5,20,51,NNE,3.2,19.3,33,1018.52,0,0,6.3,868,,
2026-08-09,12:30,32.3,18.3,43,ENE,1.6,14.5,59,1018.46,0,0,6.5,893,,
2026-08-09,12:45,32.7,18.9,45,N,0,16.1,0,1018.19,0,0,6.7,907,,
2026-08-09,13:00,32.8,18.3,43,S,1.6,17.7,169,1018.02,0,0,6.9,911,,
2026-08-09,13:15,33.1,17.8,41,S,1.6,16.1,169,1018.08,0,0,6.9,911,,
2026-08-09,13:30,33.6,17.2,38,SSE,3.2,20.9,168,1018.12,0,0,6.9,916,,
2026-08-09,13:45,34,16.7,36,SW,4.8,6.4,217,1017.95,0,0,6.9,907,,
2026-08-09,14:00,34.4,18.3,38,WSW,1.6,17.7,243,1017.75,0,0,6.7,891,,
2026-08-09,14:15,34.2,18.9,41,SW,3.2,16.1,230,1017.64,0,0,6.6,879,,
