date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-22,00:00,25.8,21.7,78,N,0,1.6,0,1016.63,0,0,0,0,,
2026-08-22,00:15,25.4,21.1,79,N,0,1.6,0,1016.42,0,0,0,0,,
2026-08-22,00:30,25.2,21.7,80,N,0,1.6,0,1016.53,0,0,0,0,,
2026-08-22,00:45,25,21.1,81,N,0,3.2,0,1016.59,0,0,0,0,,
2026-08-22,01:00,24.8,21.1,81,N,0,1.6,0,1016.59,0,0,0,0,,
2026-08-22,01:15,24.6,21.1,82,N,0,0,0,1016.59,0,0,0,0,,
2026-08-22,01:30,24.3,21.1,83,N,0,1.6,0,1016.53,0,0,0,0,,
2026-08-22,01:45,24.2,21.1,83,N,0,0,0,1016.56,0,0,0,0,,
2026-08-22,02:00,23.8,20.6,83,N,0,0,0,1016.53,0,0,0,0,,
2026-08-22,02:15,23.7,20.6,83,N,0,1.6,0,1016.32,0,0,0,0,,
2026-08-22,02:30,23.4,20.6,84,N,0,0,0,1016.29,0,0,0,0,,
