date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-08-22,00:00,25.8,21.7,78,N,0,1.6,0,1016.63,0,0,0,0,,
2026-08-22,00:15,25.4,21.1,79,N,0,1.6,0,1016.42,0,0,0,0,,
2026-08-22,00:30,25.2,21.7,80,N,0,1.6,0,1016.53,0,0,0,0,,
2026-08-22,00:45,25,21.1,81,N,0,3.2,0,1016.59,0,0,0,0,,
2026-08-22,01:00,24.8,21.1,81,N,0,1.6,0,1016.59,0,0,0,0,,
2026-08-22,01:15,24.6,21.1,82,N,0,0,0,1016.59,0,0,0,0,,
2026-08-22,01:30,24.3,21.1,83,N,0,1.6,0,1016.53,0,0,0,0,,
2026-08-22,01:45,24.2,21.1,83,N,0,0,0,1016.56,0,0,0,0,,
2026-08-22,02:00,23.8,20.6,83,N,0,0,0,1016.53,0,0,0,0,,
2026-08-22,02:15,23.7,20.6,83,N,0,1.6,0,1016.32,0,0,0,0,,
2026-08-22,02:30,23.4,20.6,84,N,0,0,0,1016.29,0,0,0,0,,
2026-08-22,02:45,23.3,20.6,84,N,0,3.2,0,1016.29,0,0,0,0,,
2026-08-22,03:00,23.2,20.6,85,N,0,3.2,0,1016.29,0,0,0,0,,
2026-08-22,03:15,22.9,20,85,N,0,0,0,1016.12,0,0,0,0,,
2026-08-22,03:30,22.9,20.6,86,NNW,1.6,3.2,346,1016.53,0,0,0,0,,
2026-08-22,03:45,23.2,20.6,86,WNW,3.2,8,302,1016.39,0,0,0,0,,
2026-08-22,04:00,23.5,21.1,86,N,6.4,12.9,360,1016.53,0,0,0,0,,
2026-08-22,04:15,23.5,21.1,86,N,8,12.9,360,1016.53,0,0,0,0,,
2026-08-22,04:30,23.5,21.1,86,N,8,12.9,360,1016.59,0,0,0,0,,
2026-08-22,04:45,23.4,20.6,86,N,6.4,12.9,360,1016.73,0,0,0,0,,
2026-08-22,05:00,23.4,20.6,85,N,3.2,9.7,360,1016.59,0,0,0,0,,
2026-08-22,05:15,23.3,20,84,NNW,4.8,8,328,1016.39,0,0,0,0,,
2026-08-22,05:30,23.3,20,84,NW,3.2,4.8,322,1016.12,0,0,0,0,,
2026-08-22,05:45,23.1,20,83,N,0,6.4,0,1016.19,0,0,0,0,,
2026-08-22,06:00,22.9,20,83,N,0,3.2,0,1016.19,0,0,0,0,,
2026-08-22,06:15,22.6,19.4,83,N,0,1.6,0,1016.39,0,0,0,0,,
2026-08-22,06:30,22.2,18.9,83,N,0,0,0,1016.32,0,0,0,0,,
2026-08-22,06:45,22.2,18.9,84,N,0,0,0,1016.46,0,0,0,0,,
2026-08-22,07:00,22.2,19.4,84,N,0,0,0,1016.49,0,0,0,16,,
2026-08-22,07:15,22.2,19.4,84,N,0,3.2,0,1016.42,0,0,0,30,,
2026-08-22,07:30,22.4,19.4,84,NNW,1.6,3.2,340,1016.63,0,0,0,62,,
