date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-07-18,00:00,26.8,23.3,82,N,0,4.8,0,1017,0,0,0,0,,
2026-07-18,00:15,26.1,22.8,82,NW,1.6,4.8,317,1016.73,0,0,0,0,,
2026-07-18,00:30,25.7,22.8,84,N,3.2,9.7,360,1016.83,0,0,0,0,,
2026-07-18,00:45,25.8,23.3,86,N,1.6,16.1,360,1016.8,0,0,0,0,,
2026-07-18,01:00,25.4,22.8,86,N,0,1.6,0,1016.56,0,0,0,0,,
2026-07-18,01:15,24.4,20.6,79,N,0,3.2,0,1016.59,0,0,0,0,,
2026-07-18,01:30,24.6,19.4,72,N,0,4.8,0,1016.53,0,0,0,0,,
2026-07-18,01:45,25.2,17.8,65,N,3.2,6.4,360,1016.36,0,0,0,0,,
2026-07-18,02:00,25.9,17.8,62,N,0,6.4,0,1016.56,0,0,0,0,,
2026-07-18,02:15,26.2,17.8,61,N,1.6,8,360,1016.49,0,0,0,0,,
2026-07-18,02:30,26.4,18.3,61,N,0,4.8,0,1016.05,0,0,0,0,,
2026-07-18,02:45,26.2,18.9,64,N,0,4.8,0,1015.98,0,0,0,0,,
2026-07-18,03:00,25.9,19.4,68,N,0,3.2,0,1016.12,0,0,0,0,,
2026-07-18,03:15,25.7,19.4,69,N,0,3.2,0,1016.09,0,0,0,0,,
2026-07-18,03:30,25.4,18.9,67,N,0,4.8,0,1015.88,0,0,0,0,,
2026-07-18,03:45,25.4,18.3,65,N,0,1.6,0,1015.95,0,0,0,0,,
2026-07-18,04:00,25.6,20,71,N,0,8,0,1015.98,0,0,0,0,,
2026-07-18,04:15,25.6,21.1,78,NNW,1.6,6.4,329,1015.54,0,0,0,0,,
2026-07-18,04:30,25.7,22.8,85,N,8,17.7,360,1015.95,0,0,0,0,,
2026-07-18,04:45,25.2,22.8,88,N,8,22.5,360,1016.15,0,0,0,0,,
2026-07-18,05:00,24.8,22.8,89,N,0,9.7,0,1015.98,0,0,0,0,,
2026-07-18,05:15,24.3,22.2,89,N,0,4.8,0,1015.95,0,0,0,0,,
2026-07-18,05:30,24.3,22.2,90,W,6.4,6.4,275,1015.78,0,0,0,0,,
2026-07-18,05:45,24.4,22.8,91,N,0,9.7,0,1015.98,0,0,0,0,,
2026-07-18,06:00,24.4,22.8,91,N,0,9.7,0,1015.85,0,0,0,0,,
2026-07-18,06:15,24.2,22.8,91,N,0,1.6,0,1015.54,0,0,0,0,,
2026-07-18,06:30,23.8,22.2,91,N,0,3.2,0,1015.41,0,0,0,14,,
2026-07-18,06:45,23.6,21.7,91,N,0,3.2,0,1015.71,0,0,0,32,,
2026-07-18,07:00,23.5,22.2,92,NE,1.6,3.2,50,1015.44,0,0,0,56,,
2026-07-18,07:15,23.6,22.2,92,NE,1.6,1.6,51,1015.41,0,0,0,90,,
