date,time,temp_c,dewpoint_c,rh_pct,wind_dir_txt,wind_kmh,gust_kmh,wind_dir_deg,press_hpa,rain_rate_mmph,rain_acc_mm,uv,solar_wm2,key,value
2026-09-04,00:00,23.1,19.4,82,N,3.2,14.5,360,1021.2,0,0,0,0,,
2026-09-04,00:15,22.8,19.4,83,N,0,4.8,0,1021.27,0,0,0,0,,
2026-09-04,00:30,22.7,19.4,83,N,3.2,6.4,360,1021.1,0,0,0,0,,
2026-09-04,00:45,22.4,19.4,84,N,3.2,4.8,360,1021.06,0,0,0,0,,
2026-09-04,01:00,22.4,19.4,85,N,4.8,12.9,360,1020.96,0,0,0,0,,
2026-09-04,01:15,22.6,20,85,N,3.2,9.7,360,1021.23,0,0,0,0,,
2026-09-04,01:30,22.4,20,86,N,3.2,12.9,360,1021.3,0,0,0,0,,
2026-09-04,01:45,22.4,20,86,N,3.2,17.7,360,1021.33,0,0,0,0,,
2026-09-04,02:00,22.3,19.4,86,N,9.7,12.9,360,1021.37,0,0,0,0,,
2026-09-04,02:15,22.1,19.4,86,NW,1.6,12.9,305,1021.27,0,0,0,0,,
2026-09-04,02:30,21.9,18.9,85,N,0,4.8,0,1021.3,0,0,0,0,,
2026-09-04,02:45,21.5,18.9,85,N,1.6,1.6,360,1020.96,0,0,0,0,,
2026-09-04,03:00,21.3,18.3,84,NNW,1.6,3.2,338,1021.13,0,0,0,0,,
2026-09-04,03:15,21.4,18.9,85,N,0,3.2,0,1020.83,0,0,0,0,,
2026-09-04,03:30,21.6,18.9,86,NNW,1.6,6.4,329,1020.83,0,0,0,0,,
2026-09-04,03:45,21.7,19.4,87,N,3.2,9.7,360,1020.83,0,0,0,0,,
2026-09-04,04:00,21.9,19.4,87,N,1.6,9.7,360,1020.66,0,0,0,0,,
2026-09-04,04:15,21.8,19.4,88,N,3.2,8,360,1020.66,0,0,0,0,,
2026-09-04,04:30,21.6,19.4,87,N,0,3.2,0,1020.73,0,0,0,0,,
2026-09-04,04:45,21.3,18.9,87,N,1.6,1.6,360,1020.62,0,0,0,0,,
2026-09-04,05:00,21.2,18.9,87,N,0,1.6,0,1020.32,0,0,0,0,,
2026-09-04,05:15,20.9,18.9,87,N,0,1.6,0,1020.29,0,0,0,0,,
2026-09-04,05:30,20.8,18.3,88,N,0,3.2,0,1020.29,0,0,0,0,,
2026-09-04,05:45,20.6,18.3,87,N,0,0,0,1020.15,0,0,0,0,,
2026-09-04,06:00,20.6,18.3,88,N,0,1.6,0,1020.42,0,0,0,0,,
2026-09-04,06:15,20.4,18.3,88,N,0,0,0,1020.25,0,0,0,0,,
2026-09-04,06:30,20.4,18.3,89,N,0,0,0,1020.39,0,0,0,0,,
2026-09-04,06:45,20.3,18.3,89,N,0,0,0,1020.52,0,0,0,0,,
2026-09-04,07:00,20.3,18.3,89,N,0,0,0,1020.45,0,0,0,0,,
2026-09-04,07:15,20.5,18.3,90,NE,1.6,3.2,55,1020.45,0,0,0,9,,
2026-09-04,07:30,20.6,18.9,90,N,0,0,0,1020.66,0,0,0,30,,
2026-09-04,07:45,20.8,18.9,90,N,0,4.8,0,1020.62,0,0,0,72,,
2026-09-04,08:00,21.3,19.4,90,N,0,0,0,1020.76,0,0,0,113,,
2026-09-04,08:15,21.7,19.4,89,N,0,0,0,1020.69,0,0,0,183,,
2026-09-04,08:30,22.2,19.4,86,N,0,0,0,1021,0,0,0.6,251,,
2026-09-04,08:45,22.3,19.4,85,N,3.2,6.4,360,1020.93,0,0,0.8,297,,
2026-09-04,09:00,22.4,19.4,83,N,1.6,6.4,360,1021.13,0,0,1,346,,
2026-09-04,09:15,23.3,19.4,80,N,3.2,3.2,360,1020.96,0,0,1.2,392,,
2026-09-04,09:30,24.4,19.4,75,N,3.2,4.8,360,1021.1,0,0,1.5,439,,
2026-09-04,09:45,25.7,19.4,69,N,1.6,3.2,360,1021.13,0,0,1.8,487,,
2026-09-04,10:00,26.8,19.4,64,N,1.6,6.4,360,1021.03,0,0,2.2,527,,
2026-09-04,10:15,27.8,18.3,56,N,3.2,14.5,360,1021.47,0,0,2.5,571,,
2026-09-04,10:30,28.2,17.2,53,N,9.7,16.1,360,1021.3,0,0,2.8,610,,
2026-09-04,10:45,28.7,17.2,51,N,3.2,8,360,1021.64,0,0,3.2,647,,
